year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,3558241,4324780,69968366,67389489,640222,15.097,472341,11.138,14226159,4587722,9638437,6.808,21.110,9068063,3562965,5505098,5.287,13.456,5158096,7.654,26.912,326301,331428,1819216
1979,3691332,4484523,74428886,72294786,616164,13.972,466922,10.588,13672650,4356234,9316416,6.026,18.912,9399229,3252738,6146491,4.499,13.001,4273421,5.911,26.003,330052,334546,1787372
1980,3739132,4553278,74885222,74648671,579032,12.812,511202,11.311,11773988,4066403,7707585,5.447,15.773,11302829,3412436,7890393,4.571,15.141,471159,0.631,30.283,369174,374179,1939527
1981,3768026,4613001,75559277,75212259,585422,12.778,522709,11.409,12082097,4521788,7560309,6.012,16.064,11383117,3488530,7894587,4.638,15.135,698980,0.929,30.269,377175,383365,2006273
1982,3741519,4616580,74700325,75072645,571755,12.388,569708,12.343,11790682,4160003,7630679,5.541,15.706,12525892,3830911,8694981,5.103,16.685,-735210,-0.979,31.411,404606,410537,2195954
1983,3830417,4712558,73878887,74274626,624766,13.393,529225,11.345,12306578,4564057,7742521,6.145,16.569,13110506,4106606,9003900,5.529,17.651,-803928,-1.082,33.138,362971,369982,2096725
1984,4001109,4904240,78677473,76196863,698787,14.530,509070,10.585,15025632,5374159,9651473,7.053,19.719,10062665,3624549,6438116,4.757,13.206,4962967,6.513,26.412,364726,371103,2067622
1985,4072930,4986768,81663525,80193988,683370,13.818,600552,12.144,15035686,5287255,9748431,6.593,18.749,12098757,4849643,7249114,6.047,15.087,2936929,3.662,30.174,431608,440641,2816564
1986,4157297,5111966,83759536,82648632,710295,14.069,583782,11.563,15036145,5619491,9416654,6.799,18.193,12805283,4369649,8435634,5.287,15.494,2230862,2.699,30.987,414731,422559,2553243
1987,4223760,5224152,85873073,85225936,739998,14.319,627645,12.145,16312979,6506395,9806584,7.634,19.141,15023231,5267544,9755687,6.181,17.628,1289748,1.513,35.255,435822,444164,2819279
1988,4307953,5359211,88809085,87415140,740083,13.976,612495,11.567,16757176,6217760,10539416,7.113,19.170,13965879,5103548,8862331,5.838,15.976,2791297,3.193,31.953,425378,435330,2785475
1989,4381732,5470654,91681888,90248174,720978,13.312,611665,11.294,16468040,5976250,10491790,6.622,18.248,13635461,4988784,8646677,5.528,15.109,2832579,3.139,30.218,429451,441681,2795026
1990,4445267,5567370,93899054,92876504,698621,12.657,602895,10.923,15626038,5583361,10042677,6.012,16.825,13580937,4600025,8980912,4.953,14.623,2045101,2.202,29.245,433888,444874,2731755
1991,4412362,5600896,91753777,92845132,688818,12.342,649014,11.629,14223754,5620681,8603073,6.054,15.320,16413178,5547977,10865201,5.976,17.678,-2189424,-2.358,30.640,453806,466637,3410189
