month,yield,series,mean,median,real_yield,series2
1980-01-31,12.4,One year,13.8,10.4,2,Risk-free rate
1980-02-29,15.45,One year,11.2,10,5.449999999999999,Risk-free rate
1980-03-31,15.8,One year,12.7,10.2,5.600000000000001,Risk-free rate
1980-04-30,11.12,One year,12,10.1,1.0199999999999996,Risk-free rate
1980-05-31,8.83,One year,9.5,8.6,0.23000000000000043,Risk-free rate
1980-06-30,8.49,One year,9,8.5,-0.009999999999999787,Risk-free rate
1980-07-31,9.36,One year,10,9.6,-0.2400000000000002,Risk-free rate
1980-08-31,11.15,One year,8.8,7.6,3.5500000000000007,Risk-free rate
1980-09-30,12.29,One year,9.3,9.1,3.1899999999999995,Risk-free rate
1980-10-31,13.78,One year,10,9.6,4.18,Risk-free rate
1980-11-30,15.13,One year,9.8,8.6,6.530000000000001,Risk-free rate
1980-12-31,13.86,One year,10.9,9.7,4.16,Risk-free rate
1981-01-31,14,One year,8.6,9.5,4.5,Risk-free rate
1981-02-28,14.59,One year,9.1,8.6,5.99,Risk-free rate
1981-03-31,13.05,One year,7.9,7.2,5.8500000000000005,Risk-free rate
1981-04-30,15.33,One year,9.3,8,7.33,Risk-free rate
1981-05-31,14.81,One year,8.6,7.3,7.510000000000001,Risk-free rate
1981-06-30,14.87,One year,7.8,7.1,7.77,Risk-free rate
1981-07-31,16.12,One year,7.7,6.8,9.32,Risk-free rate
1981-08-31,16.97,One year,7.7,5.8,11.169999999999998,Risk-free rate
1981-09-30,16.64,One year,8.7,6.9,9.74,Risk-free rate
1981-10-31,14.31,One year,8.3,6.7,7.61,Risk-free rate
1981-11-30,11.82,One year,8.8,7.3,4.5200000000000005,Risk-free rate
1981-12-31,13.35,One year,6.5,5.3,8.05,Risk-free rate
1982-01-31,14.04,One year,6.4,5.1,8.94,Risk-free rate
1982-02-28,14.27,One year,6.4,5.2,9.07,Risk-free rate
1982-03-31,14.3,One year,5.8,4.2,10.100000000000001,Risk-free rate
1982-04-30,13.67,One year,5.1,4.7,8.969999999999999,Risk-free rate
1982-05-31,12.93,One year,4.8,3.5,9.43,Risk-free rate
1982-06-30,14.34,One year,5.8,4.6,9.74,Risk-free rate
1982-07-31,12.56,One year,5.9,5,7.5600000000000005,Risk-free rate
1982-08-31,11.13,One year,6.3,4.8,6.330000000000001,Risk-free rate
1982-09-30,10.26,One year,5.3,4.5,5.76,Risk-free rate
1982-10-31,9.21,One year,5.9,4.7,4.510000000000001,Risk-free rate
1982-11-30,9.38,One year,5.2,4.5,4.880000000000001,Risk-free rate
1982-12-31,8.68,One year,4.8,3.7,4.9799999999999995,Risk-free rate
1983-01-31,8.91,One year,4.7,2.8,6.11,Risk-free rate
1983-02-28,8.61,One year,4.5,3,5.609999999999999,Risk-free rate
1983-03-31,9.34,One year,3.1,1.8,7.54,Risk-free rate
1983-04-30,8.75,One year,4.5,3.4,5.35,Risk-free rate
1983-05-31,9.48,One year,4.5,3.2,6.28,Risk-free rate
1983-06-30,9.7,One year,4.6,3.2,6.499999999999999,Risk-free rate
1983-07-31,10.48,One year,4.5,3.2,7.28,Risk-free rate
1983-08-31,10.59,One year,5,3.3,7.29,Risk-free rate
1983-09-30,9.89,One year,5,3.3,6.590000000000001,Risk-free rate
1983-10-31,9.82,One year,5.2,3.7,6.12,Risk-free rate
1983-11-30,9.98,One year,5.1,3.5,6.48,Risk-free rate
1983-12-31,10.08,One year,4.9,3.5,6.58,Risk-free rate
1984-01-31,9.85,One year,4.6,3.2,6.6499999999999995,Risk-free rate
1984-02-29,10.21,One year,5.1,3.3,6.910000000000001,Risk-free rate
1984-03-31,10.8,One year,5,3.4,7.4,Risk-free rate
1984-04-30,11.11,One year,5.8,3.9,7.209999999999999,Risk-free rate
1984-05-31,12.15,One year,5.3,4.2,7.95,Risk-free rate
